"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"year[90,12]",-0.205859523943855,0.797804690273734,-1.8004813157387,-0.736989851295674,-0.198924121221751,0.330978866478823,1.33391445206042,1.00019732565398,13060,1,0.59915
"year[91,12]",-0.166604541578783,0.553698293829595,-1.26800846500158,-0.535907013997044,-0.161539429349677,0.207364272986813,0.911076802758199,1.00011909141034,18097,1,0.616325
"year[92,12]",0.114125643455723,0.822788121208554,-1.50897724760425,-0.441115229181883,0.119378917272627,0.67267163449674,1.72935049178953,1.00000774181364,40000,1,0.5573
"year[93,12]",-0.283851748508893,0.755597098967304,-1.78722704737904,-0.790806701029892,-0.278862421282276,0.227655945602205,1.19044065392584,1.00019292447168,20015,1,0.64455
"year[94,12]",-0.0781245475065224,0.769056933227126,-1.60392900553662,-0.59411448076153,-0.075083136833733,0.44755902556124,1.41893607086403,1.00016561508971,18856,1,0.540025
"year[95,12]",0.0726623106291577,0.764456084600867,-1.43902552617784,-0.439601530690311,0.0753827420207233,0.590094348538046,1.55042317712601,1.0000765799351,40000,1,0.540325
"year[96,12]",-0.0633394694985422,0.798204912333785,-1.64683886470997,-0.601307828497025,-0.0526501837006695,0.483046261208376,1.46939369523521,1.00075148081296,3470,1,0.52665
"year[97,12]",-0.108455815209038,0.815126780861555,-1.73627470409281,-0.651550564293696,-0.102999296415324,0.440298607092473,1.48119664028591,1.00006611080443,40000,1,0.54955
"year[98,12]",-0.0305455393593361,0.828364114710359,-1.66622354651046,-0.588279308100787,-0.0322793385351049,0.529082258576651,1.57778861855245,1.00013026551119,15313,1,0.515925
"year[99,12]",-0.151842422492518,0.781638883447263,-1.68931809815398,-0.682297268004737,-0.153235977572805,0.381432923345011,1.36328954115405,1.00027487606239,7826,1,0.576625
"year[100,12]",-0.181721659613382,0.825333109224181,-1.82102040499398,-0.729960142858588,-0.174365757703734,0.374192736016026,1.41724933209219,1.0000283109396,40000,1,0.5855
"year[101,12]",0.00442610412396799,0.799890377546584,-1.55803450940534,-0.536130038380457,0.00589175071143788,0.546956525808519,1.56310614694065,1.00079427024165,3019,1,0.502775
"year[102,12]",-0.0627359930585953,0.824124539025016,-1.69350540380636,-0.611425979104622,-0.0556712029417248,0.487071717062673,1.56054381135992,1.00007334725509,20555,1,0.528375
"year[103,12]",-0.183391327318283,0.815572910140289,-1.78928538571675,-0.729955812668468,-0.188419811319498,0.364398598159599,1.42642965147759,1.00076558350727,3207,1,0.590125
"year[104,12]",0.0159439546771592,0.802258040177061,-1.55588928157032,-0.520548662916486,0.014848023319146,0.554275478728247,1.59798285501747,1.00027630018513,7858,1,0.507025
"year[105,12]",0.35958148775223,0.621027951666829,-0.876599139398854,-0.0509186381579213,0.365291395686173,0.780988748032251,1.56489048393339,1.00002498669508,38652,1,0.7218
"year[106,12]",0.190918372901473,0.731003953997147,-1.26419404437022,-0.302556988426538,0.199599052360213,0.684701761177485,1.60339737807102,1.00013515116302,13829,1,0.605775
"year[107,12]",-0.671726057826127,0.750143754981344,-2.1405653640989,-1.17749632241831,-0.673843156325486,-0.171167639244617,0.811999422930562,1.00015564782323,36968,1,0.817
"year[108,12]",-0.0883163967876278,0.824423529103118,-1.71116799738249,-0.641248290166072,-0.0862297150401939,0.466938726982937,1.52698918657798,1.00017527598566,17251,1,0.5416
"year[109,12]",-0.285357409234809,0.651480942755053,-1.56945522427288,-0.718652661516804,-0.281839076921768,0.151600995095781,0.985382515335707,1.00005470308509,32044,1,0.66925
"year[110,12]",-0.11146913362808,0.783932319764876,-1.65252117897452,-0.634079060895254,-0.11739923640662,0.414075733784912,1.42140797202652,1.00020859475455,9893,1,0.558725
"year[111,12]",-0.153366514574835,0.807232117453667,-1.74978291826983,-0.69395153272259,-0.146470982053072,0.391779390941057,1.4154105849603,1.00042153491126,10802,1,0.573875
"year[112,12]",-0.0671092330619837,0.770633568911712,-1.60381723627383,-0.581117032721703,-0.0586959303838936,0.458272435191715,1.41208125927967,0.999989253964254,40000,1,0.53
"year[113,12]",-0.144389716118511,0.651600775655325,-1.44298062465343,-0.581535766758646,-0.135308254042388,0.297807578109688,1.11390221837762,1.00002295960922,40000,1,0.5821
"year[114,12]",-0.0742273830588561,0.783300576141889,-1.61866838594598,-0.603781366952381,-0.0692301336307205,0.452952490862867,1.44848410322858,1.00002718088218,40000,1,0.535225
"year[115,12]",-0.105015109608011,0.813749602639385,-1.74383500369105,-0.640261556663539,-0.0912392785966993,0.44231925396859,1.46410308107866,1.00013645659678,14503,1,0.5456
"year[116,12]",0.211365962233421,0.788724086178686,-1.33797832523941,-0.323552611199774,0.214239981133042,0.742631620873208,1.74134670334777,1.00060847172938,3905,1,0.60835
"year[117,12]",-0.126671501506905,0.812942335690781,-1.73797503115058,-0.674894167913139,-0.1221735791359,0.415515485811994,1.47049182313406,1.00041941107568,5597,1,0.5602
"year[118,12]",-0.317037477494769,0.70443071203689,-1.69657599909445,-0.788416998394057,-0.3175528871714,0.154734506588142,1.07190113267801,1.00035122873462,6953,1,0.676475
"year[119,12]",-0.0981838631127691,0.800004355320349,-1.69703005170803,-0.636760780105505,-0.0879442065410476,0.447274899299727,1.43671894696941,1.00058207716777,4573,1,0.545425
"year[120,12]",0.385028033520932,0.502949236370841,-0.589663473228128,0.0449528207142155,0.382543129733383,0.71817876051323,1.38944225863187,1.00008031589814,32148,1,0.778175
"year[121,12]",-0.0597189512700931,0.835452986540048,-1.69713936297488,-0.617146017909996,-0.0622966865317495,0.504667371360871,1.57200157709061,1.00038238676958,6744,1,0.5306
"year[122,12]",0.0788425450805771,0.83173245162214,-1.54582617415993,-0.479278827309647,0.0775172086097597,0.630132844903051,1.72501615571084,1.00037213844117,6708,1,0.5375
"year[123,12]",-0.045867781068725,0.824915028477499,-1.66606589140976,-0.597483116029771,-0.0432919034424155,0.509366203302667,1.57175192553736,1.00008028238353,40000,1,0.521825
"year[124,12]",0.155703999281831,0.702748597238192,-1.23797280665447,-0.316334969714161,0.157412132574448,0.635362867609487,1.51563071165239,1.00029837071244,8133,1,0.58985
"year[125,12]",-0.0994759896280681,0.822172427342851,-1.71577731345315,-0.651352766969798,-0.0988883775401429,0.454391055664026,1.50871517075991,1.0002742134268,9303,1,0.547075
"year[126,12]",-0.161864079877586,0.817629491181421,-1.77251134608999,-0.707836861542052,-0.15581530982463,0.389328966363317,1.43014200463132,1.00020823739211,10390,1,0.576075
"year[127,12]",-0.22551467793659,0.811163844350477,-1.81595476164755,-0.776258564317037,-0.219191161215978,0.324467897028731,1.35308889706937,1.00052223963877,4729,1,0.60575
"year[128,12]",-0.143509306687752,0.819613617188858,-1.76175073457482,-0.695512166851444,-0.135639041907819,0.405468963504589,1.4603549185452,1.00054382150135,4307,1,0.566
"year[129,12]",-0.107753808238763,0.818934716514188,-1.73772790101074,-0.657590474104452,-0.102440686875526,0.445477486081079,1.4926389687747,1.00039429013921,5926,1,0.548625
"year[130,12]",0.0651697081670379,0.835987303265019,-1.56575627482901,-0.498335534018294,0.0624535323589316,0.624973458235617,1.7090473556443,1.00063193330373,4561,1,0.529625
"year[131,12]",0.228699203316319,0.829042358076161,-1.40802641560564,-0.325972542295948,0.230633651055611,0.786125215793288,1.84783415895575,1.00033432720728,13438,1,0.611225
"year[132,12]",-0.118261791325148,0.830387149062974,-1.75140224582528,-0.67489444932184,-0.109560286540653,0.440937121533622,1.49353568769912,1.00007653736655,22824,1,0.5535
"year[133,12]",-0.307699352447543,0.77272500802474,-1.81952777092132,-0.828731464288413,-0.307127110170897,0.210372463098705,1.22225127736375,1.00024266018549,9530,1,0.65805
"year[134,12]",0.162546496460866,0.673187439020629,-1.14007156713381,-0.294345263789849,0.153460159299856,0.611759498187444,1.50192412272697,1.00008651898208,40000,1,0.59275
"year[135,12]",0.260192748442406,0.838311345981444,-1.38324360562806,-0.304397503742346,0.258100721918609,0.824649408092262,1.91254942840017,1.00095441216393,2641,1,0.6238
"year[136,12]",-0.780747241141777,0.677388210533089,-2.10445410348839,-1.2405270403736,-0.779663488373078,-0.326906804595124,0.542524881907802,1.00030914244044,8178,1,0.8749
"year[137,12]",-0.122049391285456,0.815657232418612,-1.74469696632094,-0.663715416573644,-0.116142487269654,0.433953473489537,1.43734340945111,1.0000595541224,23023,1,0.556125
"year[138,12]",0.237232124610895,0.704645684500334,-1.14561895034422,-0.241253084297806,0.22890746748199,0.718756692138535,1.62465547420714,1.00049671893729,5584,1,0.6298
"year[139,12]",-0.0965927270675611,0.821078885962219,-1.7278813917457,-0.643814965662282,-0.0922046784933503,0.45691161829253,1.48157606555186,1.00000588717287,40000,1,0.544425
"year[1,13]",0.194758478190253,0.479436821298833,-0.738737025148624,-0.133143419967522,0.194494118830353,0.520465728665191,1.12941666030629,1.000165620626,15749,1,0.65475
"year[2,13]",-0.161713216513939,0.80239983402049,-1.75024792013475,-0.698505280195831,-0.1560772298118,0.376780619014469,1.40280181572022,0.99999330039621,40000,1,0.577425
"year[3,13]",-0.132901393032371,0.825192855669323,-1.77942866210944,-0.682506880625681,-0.126014010984178,0.423377763584872,1.47953731341592,1.00030014306123,8344,1,0.562575
"year[4,13]",-0.0363906699748377,0.726021419415366,-1.47065240589474,-0.526068961425482,-0.0316869581596181,0.448871109871204,1.39866545030478,1.00009865015474,21632,1,0.517825
"year[5,13]",0.936160273809749,0.498663848521261,-0.0270103737531502,0.596695381475828,0.933435974966283,1.27153895362617,1.93092587510613,1.00014985011431,14521,1,0.971575
"year[6,13]",-0.0883080293550689,0.720265726215802,-1.50834287328482,-0.570059738731941,-0.0852335604610021,0.401853993571887,1.30409120555454,1.0005564236509,5640,1,0.54755
